"transaction_id","price","serial_number","set_play_id","transaction_datetime","buyer_username","seller_username","set_name","set_visual_id","series_number","version","circulation_count","play_description","player_name","date_of_moment","play_category","team_at_moment","listings","sold_amount"
"a315ba44-dd54-4260-b2b1-9810a72cde1a","5","23941","04203011-416c-4464-8a3d-81f76f389182","2021-04-15T13:59:20","NbaBigMoney","Beechum_Boys","Base Set","SET_VISUAL_COMMON","2","0","35000","Josh Hart’s nose for the ball is next level. The New Orleans Pelicans wing crashes the boards in transition, just in time to clean up a missed layup with an easy put-back against the Sacramento Kings on February 1, 2021.","Josh Hart","2021-02-02T01:00:00","Dunk","New Orleans Pelicans","912","2125"
"c291fda8-ceeb-4e1a-a81b-6e3922645eed","5","31999","04203011-416c-4464-8a3d-81f76f389182","2021-04-15T13:55:01","Mixzy","Pavelmhl","Base Set","SET_VISUAL_COMMON","2","0","35000","Josh Hart’s nose for the ball is next level. The New Orleans Pelicans wing crashes the boards in transition, just in time to clean up a missed layup with an easy put-back against the Sacramento Kings on February 1, 2021.","Josh Hart","2021-02-02T01:00:00","Dunk","New Orleans Pelicans","912","2125"
"c62b4f53-1904-40a1-a013-9fe0425db468","6","8819","04203011-416c-4464-8a3d-81f76f389182","2021-04-15T13:53:16","CyberShot7","Trust_TheProcess","Base Set","SET_VISUAL_COMMON","2","0","35000","Josh Hart’s nose for the ball is next level. The New Orleans Pelicans wing crashes the boards in transition, just in time to clean up a missed layup with an easy put-back against the Sacramento Kings on February 1, 2021.","Josh Hart","2021-02-02T01:00:00","Dunk","New Orleans Pelicans","912","2125"
"9810e69e-e845-42e7-aa08-e66ad56967d4","5","10381","04203011-416c-4464-8a3d-81f76f389182","2021-04-15T13:51:47","silvercoin74","StateAztec","Base Set","SET_VISUAL_COMMON","2","0","35000","Josh Hart’s nose for the ball is next level. The New Orleans Pelicans wing crashes the boards in transition, just in time to clean up a missed layup with an easy put-back against the Sacramento Kings on February 1, 2021.","Josh Hart","2021-02-02T01:00:00","Dunk","New Orleans Pelicans","912","2125"
"8ee64777-a51a-46ad-a0d0-f168f119cca9","5","33785","04203011-416c-4464-8a3d-81f76f389182","2021-04-15T13:49:07","main2h","Mavs4Dak","Base Set","SET_VISUAL_COMMON","2","0","35000","Josh Hart’s nose for the ball is next level. The New Orleans Pelicans wing crashes the boards in transition, just in time to clean up a missed layup with an easy put-back against the Sacramento Kings on February 1, 2021.","Josh Hart","2021-02-02T01:00:00","Dunk","New Orleans Pelicans","912","2125"
"e6824876-0e75-4b53-95db-cc292491e08b","6","6294","04203011-416c-4464-8a3d-81f76f389182","2021-04-15T13:47:58","Teaga55","Ghumbs","Base Set","SET_VISUAL_COMMON","2","0","35000","Josh Hart’s nose for the ball is next level. The New Orleans Pelicans wing crashes the boards in transition, just in time to clean up a missed layup with an easy put-back against the Sacramento Kings on February 1, 2021.","Josh Hart","2021-02-02T01:00:00","Dunk","New Orleans Pelicans","912","2125"
"ef3ff7cd-3f0f-49fe-b814-e263d7390b14","5","5125","04203011-416c-4464-8a3d-81f76f389182","2021-04-15T13:43:46","PR4NKZ","vertices","Base Set","SET_VISUAL_COMMON","2","0","35000","Josh Hart’s nose for the ball is next level. The New Orleans Pelicans wing crashes the boards in transition, just in time to clean up a missed layup with an easy put-back against the Sacramento Kings on February 1, 2021.","Josh Hart","2021-02-02T01:00:00","Dunk","New Orleans Pelicans","912","2125"
"37823d6e-ff63-4f79-8043-1f0593274447","5","10946","04203011-416c-4464-8a3d-81f76f389182","2021-04-15T13:41:43","DP3ZEZ","tchick1986p","Base Set","SET_VISUAL_COMMON","2","0","35000","Josh Hart’s nose for the ball is next level. The New Orleans Pelicans wing crashes the boards in transition, just in time to clean up a missed layup with an easy put-back against the Sacramento Kings on February 1, 2021.","Josh Hart","2021-02-02T01:00:00","Dunk","New Orleans Pelicans","912","2125"
"f8a589aa-cb8b-46bf-a8d8-4b69d43c646f","6","7823","04203011-416c-4464-8a3d-81f76f389182","2021-04-15T13:39:48","S1DV1C1OUS","tommyzero","Base Set","SET_VISUAL_COMMON","2","0","35000","Josh Hart’s nose for the ball is next level. The New Orleans Pelicans wing crashes the boards in transition, just in time to clean up a missed layup with an easy put-back against the Sacramento Kings on February 1, 2021.","Josh Hart","2021-02-02T01:00:00","Dunk","New Orleans Pelicans","912","2125"
"c62c2b0e-1c1d-4eb6-8887-7b034db59699","6","28880","04203011-416c-4464-8a3d-81f76f389182","2021-04-15T13:39:22","Mpk0303","YOGIBEAR323","Base Set","SET_VISUAL_COMMON","2","0","35000","Josh Hart’s nose for the ball is next level. The New Orleans Pelicans wing crashes the boards in transition, just in time to clean up a missed layup with an easy put-back against the Sacramento Kings on February 1, 2021.","Josh Hart","2021-02-02T01:00:00","Dunk","New Orleans Pelicans","912","2125"
